district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,census_literacy_rate_7plus,census_male_female_literacy_gap_pp,census_sex_ratio,census_sc_pct,census_st_pct,census_work_participation_rate,census_agri_labour_share_of_workers,census_marginal_worker_share,census_total_population_person,census_rural_share_pct
Chitradurga,B0059 hiriyur,14139,47.68,28.8,10.0,90.0,2.6,361.0,325.0,90.03,9.97,87.53,30332.0,19285.0,1054.0,18.3,51.14,63.28,97.54,99.38,65.23,93.85,40.62,9.23,95.69,95.38,88.62,91.69,12.1,1.23,2.41,0.71,7.11,5.95,235.14,59.3,71.51,12.28,979.7,26.87,10.02,54.03,59.82,23.52,229717.0,100.0
Chitradurga,B0060 holalkere,9651,48.8,28.62,10.0,90.0,4.54,261.0,231.0,88.51,11.49,92.72,22377.0,12523.0,730.0,17.15,40.55,51.78,99.13,100.0,51.52,94.81,65.8,15.58,93.51,77.49,86.15,93.07,9.91,1.12,2.89,0.62,7.26,4.79,215.81,54.2,74.7,11.83,974.2,28.41,12.5,57.15,57.87,30.93,191477.0,96.74
Chitradurga,B0063 hosadurga,12987,50.58,28.89,10.0,90.0,4.28,348.0,317.0,91.09,8.91,93.68,24441.0,14527.0,924.0,15.72,45.67,43.07,98.42,100.0,44.79,97.16,58.36,4.73,99.05,93.69,78.23,95.27,6.17,1.25,2.66,0.71,6.98,4.28,234.17,45.8,71.81,12.41,976.4,21.45,8.55,56.29,61.82,21.95,206746.0,100.0
Chitradurga,B0097 molakalmur,10764,29.92,26.84,0.0,70.0,0.85,174.0,148.0,85.06,14.94,85.63,21879.0,17021.0,510.0,33.37,43.33,65.69,97.97,99.32,52.03,99.32,79.73,7.43,95.95,90.54,77.03,91.22,7.75,1.46,3.59,2.26,6.85,4.34,233.97,115.0,63.73,19.16,957.8,20.57,40.48,52.39,63.73,14.72,125487.0,100.0
Dakshina Kannada,B0095 mangaluru south,1623,72.92,22.31,40.0,95.0,4.8,219.0,134.0,61.19,38.81,50.68,65506.0,16541.0,580.0,28.52,87.07,62.41,100.0,100.0,88.06,93.28,91.04,21.64,100.0,99.25,100.0,93.28,9.52,3.39,5.51,1.23,6.02,6.37,236.49,123.4,,,,,,,,,,
Davanagere,B0028 channagiri,8934,52.85,28.7,10.0,90.0,5.51,362.0,297.0,82.04,17.96,93.92,34635.0,19159.0,1047.0,18.3,39.54,51.58,98.99,100.0,71.04,97.64,14.14,8.75,91.25,57.58,65.99,85.52,6.6,1.29,3.77,1.57,8.67,3.74,227.25,64.5,71.24,10.87,978.5,26.36,13.49,46.74,62.48,22.35,281004.0,100.0
Davanagere,B0037 davanagere(n),4453,48.06,26.87,10.0,85.0,5.27,296.0,180.5,61.47,38.53,50.465,53917.0,17143.0,800.0,21.38,54.975,50.975,98.06,100.0,86.42,93.91499999999999,23.814999999999998,17.45,91.14,50.129999999999995,83.64500000000001,87.265,11.184999999999999,1.4,4.755,1.515,9.4,4.905,233.01999999999998,94.95,74.22,10.87,976.3,24.04,14.55,47.41,66.03,17.06,247008.0,100.0
Davanagere,B0038 davanagere(s),3422,56.02,28.18,15.0,90.0,3.91,296.0,180.5,61.47,38.53,50.465,53917.0,17143.0,800.0,21.38,54.975,50.975,98.06,100.0,86.42,93.91499999999999,23.814999999999998,17.45,91.14,50.129999999999995,83.64500000000001,87.265,11.184999999999999,1.4,4.755,1.515,9.4,4.905,233.01999999999998,94.95,74.22,10.87,976.3,24.04,14.55,47.41,66.03,17.06,247008.0,100.0
Davanagere,B0056 harihara,6417,54.57,28.19,15.0,90.0,4.2,238.0,165.0,69.33,30.67,60.08,31419.0,17676.0,800.0,22.1,53.0,58.25,97.58,100.0,96.97,95.15,19.39,10.3,98.79,72.73,92.73,81.21,25.79,1.57,5.21,1.68,9.04,5.95,235.36,107.1,72.61,11.71,963.3,13.71,10.58,44.08,55.9,23.86,176723.0,92.61
Davanagere,B0062 honnali,7822,48.63,28.17,10.0,85.0,4.71,262.0,224.0,85.5,14.5,87.02,24889.0,16994.0,848.0,20.04,39.62,62.15,97.77,100.0,86.16,95.09,16.96,9.38,98.21,45.09,85.71,86.61,12.9,1.33,3.92,3.73,10.77,6.56,235.67,75.9,75.04,12.02,970.2,23.4,7.68,47.69,62.87,21.46,215278.0,100.0
