Year,GP_ID,canonical_district,block_id,cluster_id,District,Block,Cluster,GP,block_name,block_district,cluster_name,gp_name
2023-24,6612,Kolar,B0100,C2527,kolar,mulbagal,padmaghatta (urdu-2),mudigere,mulbagal,Kolar,padmaghatta (urdu-2),mudigere
2023-24,5478,Kolar,B0100,C2527,kolar,mulbagal,padmaghatta (urdu-2),sonnavadi,mulbagal,Kolar,padmaghatta (urdu-2),sonnavadi
2023-24,5703,Kolar,B0100,C2527,kolar,mulbagal,padmaghatta (urdu-2),thayalur,mulbagal,Kolar,padmaghatta (urdu-2),thayalur
2023-24,525,Kolar,B0131,C2642,kolar,srinivasapur,srinivaspur,addgal,srinivasapur,Kolar,srinivaspur,addgal
2023-24,1861,Bengaluru Rural,B0042,C0719,bengaluru rural,doddaballapura,hulikunte,dodda belavangala,doddaballapura,Bengaluru Rural,hulikunte,dodda belavangala
2023-24,3585,Bengaluru Rural,B0064,C1649,bengaluru rural,hosakote,urdu - 2,khaji hosahalli,hosakote,Bengaluru Rural,urdu - 2,khaji hosahalli
2023-24,213009346,Bengaluru Rural,B0107,C0087,bengaluru rural,nelamangala,arasinakunte,kanegondanahall,nelamangala,Bengaluru Rural,arasinakunte,kanegondanahall
2023-24,6097,Bengaluru Rural,B0107,C0922,bengaluru rural,nelamangala,kempalinganahalli,yantaganahalli,nelamangala,Bengaluru Rural,kempalinganahalli,yantaganahalli
2023-24,1683,Mandya,B0155,C1054,mandya,krishnaraja pet,lakshmipura,chowdena hally,krishnaraja pet,Mandya,lakshmipura,chowdena hally
2023-24,213009339,Mandya,B0155,C1701,mandya,krishnaraja pet,vittalapura,ballekere,krishnaraja pet,Mandya,vittalapura,ballekere
2023-24,2835,Hassan,B0004,C0093,hassan,arakalagudu,ark urdhu,hulikal,arakalagudu,Hassan,ark urdhu,hulikal
2023-24,3496,Hassan,B0004,C0093,hassan,arakalagudu,ark urdhu,kattepura,arakalagudu,Hassan,ark urdhu,kattepura
2023-24,213009375,Hassan,B0004,C0093,hassan,arakalagudu,ark urdhu,koratikere,arakalagudu,Hassan,ark urdhu,koratikere
2023-24,3056,Hassan,B0005,C1648,hassan,arasikere,urdhu gramanthara,javagal,arasikere,Hassan,urdhu gramanthara,javagal
2023-24,3568,Hassan,B0018,C1587,hassan,belur,thagare,kesagodu,belur,Hassan,thagare,kesagodu
2023-24,1336,Hassan,B0018,C1647,hassan,belur,urdhu belur,bikkodu,belur,Hassan,urdhu belur,bikkodu
2023-24,2887,Hassan,B0018,C1647,hassan,belur,urdhu belur,hunuganahally,belur,Hassan,urdhu belur,hunuganahally
2023-24,3895,Hassan,B0029,C0168,hassan,channarayapatna,baraguru,kundur mata,channarayapatna,Hassan,baraguru,kundur mata
2023-24,5305,Hassan,B0057,C1986,hassan,hassan,devegowdanagara,shankaranahally,hassan,Hassan,devegowdanagara,shankaranahally
2023-24,5707,Hassan,B0057,C1431,hassan,hassan,salagame,thejuru,hassan,Hassan,salagame,thejuru
2023-24,3980,Hassan,B0061,C2517,hassan,holenarasipura,niduvani,kyathanahally,holenarasipura,Hassan,niduvani,kyathanahally
2023-24,2364,Hassan,B0061,C1673,hassan,holenarasipura,urdu,hallymysore,holenarasipura,Hassan,urdu,hallymysore
2023-24,213009359,Hassan,B0061,C1673,hassan,holenarasipura,urdu,thathanahalli,holenarasipura,Hassan,urdu,thathanahalli
2023-24,1152,Hassan,B0116,C1963,hassan,sakaleshapura,crc urdu,belagodu,sakaleshapura,Hassan,crc urdu,belagodu
2023-24,5962,Hassan,B0116,C2117,hassan,sakaleshapura,hethur,vanagur,sakaleshapura,Hassan,hethur,vanagur
2023-24,3943,Hassan,B0116,C2738,hassan,sakaleshapura,valalahalli,kurubhattur,sakaleshapura,Hassan,valalahalli,kurubhattur
2023-24,1467,Chikkaballapura,B0010,C1075,chikkaballapura,bagepally,m.nallagutapalli,chakavaelur,bagepally,Chikkaballapura,m.nallagutapalli,chakavaelur
2023-24,6178,Chikkaballapura,B0010,C1344,chikkaballapura,bagepally,palyakere,poolanaikanahalli,bagepally,Chikkaballapura,palyakere,poolanaikanahalli
2023-24,3323,Chikkaballapura,B0030,C0574,chikkaballapura,chikkaballapur,haleperasandra,kammagattahalli,chikkaballapur,Chikkaballapura,haleperasandra,kammagattahalli
2023-24,6145,Chikkaballapura,B0034,C0821,chikkaballapura,chintamani,kadadhanamari,yenigadele,chintamani,Chikkaballapura,kadadhanamari,yenigadele
2023-24,5465,Chikkaballapura,B0047,C1689,chikkaballapura,gudibanda,varlkonda,somenahalli,gudibanda,Chikkaballapura,varlkonda,somenahalli
2023-24,4203,Chikkaballapura,B0124,C0785,chikkaballapura,sidlaghatta,jangamakote,malluru,sidlaghatta,Chikkaballapura,jangamakote,malluru
2023-24,3808,Chikkaballapura,B0124,C1612,chikkaballapura,sidlaghatta,thummanahalli,kottanoor,sidlaghatta,Chikkaballapura,thummanahalli,kottanoor
2023-24,6387,Belagavi,B0032,C1488,belagavi chikkodi,chikodi,shiraguppi,shiraguppi,chikodi,Belagavi,shiraguppi,shiraguppi
